,Cumulative Daily Returns,IBOV,CDI
2017-01-04,1.0,1.0,1.00050788
2017-01-05,1.0160251034426406,1.007826072837682,1.0010160179420944
2017-01-06,1.0337969353633965,1.0012339865885143,1.0015244139572868
2017-01-09,1.0321138975545239,1.0018022698858562,1.0020330681766474
2017-01-10,1.0546093733261654,1.008816509441621,1.002541980731313
2017-01-11,1.0561526087777728,1.013914822452061,1.0030511517524867
2017-01-12,1.0407255027039652,1.0383997142346846,1.0035342111566592
2017-01-13,1.0206173008747288,1.0334962412119046,1.0040175031974101
2017-01-17,1.016169681911282,1.0448943804900224,1.004984785636843
2017-01-18,1.0072143100689177,1.0415821006998,1.0054687762597578
2017-01-19,1.0100758688990135,1.0383510042377695,1.0059529999677166
2017-01-20,1.0300991648378197,1.0476059036516259,1.006437456872971
2017-01-23,1.0482406073491717,1.067544529055513,1.0069221470878265
2017-01-24,1.032737092382874,1.0690220656286022,1.0074070707246423
2017-01-26,1.0072755609047546,1.074721135267661,1.0083776187138647
2017-01-27,1.0012512405395286,1.072171978762441,1.008863243291261
2017-01-30,0.9898937085533052,1.0440500738768284,1.0093491017405976
2017-01-31,1.0032941507988038,1.0500414034973773,1.0098351941745047
2017-02-01,0.9736477655158723,1.0527204533277041,1.010321520705667
2017-02-02,0.9710653084508729,1.0485313935930112,1.0108080814468237
2017-02-03,0.9791056584713794,1.0546363798730287,1.0112948765107677
2017-02-06,0.9654284131003945,1.0390329441945798,1.0117819060103463
2017-02-07,0.9661958636269822,1.0423776973160788,1.0122691700584618
2017-02-08,0.9695739027661042,1.052704216662066,1.0127566687680702
2017-02-09,1.0025254895831157,1.0548149831950506,1.0132444022521823
2017-02-10,1.0270706973471593,1.07364951533553,1.0137323706238628
2017-02-13,1.0334172204432475,1.0873370244686547,1.0142205739962316
2017-02-14,1.0354366571156723,1.0831966747308768,1.0147090124824623
2017-02-15,1.0464159393745953,1.103703583432106,1.0151976861957837
2017-02-16,1.0436610984246373,1.1010732435986943,1.0156865952494787
2017-02-17,1.0248007093034974,1.1000016236665635,1.016175739756885
2017-02-21,1.0832850683618618,1.1211742356589647,1.0171547355864539
2017-02-22,1.0862688668765836,1.1136728961340496,1.0176445871355648
2017-02-23,1.0349158604380295,1.0953417006283588,1.018107747716508
2017-02-24,1.0175378320460202,1.0823686047833214,1.018571119095726
2017-03-01,1.024806515447758,1.0876779944470603,1.01903470136916
2017-03-02,1.0313054763299128,1.0692656156131777,1.0194984946327943
2017-03-03,1.0306046523404317,1.0843819513224764,1.0199624989826566
2017-03-06,1.0264311934450765,1.0771566351134132,1.0204267145148185
2017-03-07,1.0095737118079624,1.0674308723960448,1.0208911413253956
2017-03-08,1.00804867518908,1.05080452678238,1.021355779510547
2017-03-09,1.0080348156735681,1.0486450502524802,1.0218206291664755
2017-03-10,1.0068465136421763,1.0501063501599313,1.022285690389428
2017-03-13,1.0550222741974353,1.0640536459432692,1.0227509632756948
2017-03-14,1.0513094100110427,1.0504960301352515,1.0232164479216104
2017-03-15,1.0729039077840228,1.0754355485557487,1.0236821444235529
2017-03-16,1.0524104853562193,1.068096575687217,1.0241480528779443
2017-03-17,1.0522011506101896,1.0425563006381011,1.0246141733812506
2017-03-20,1.0773581741352007,1.0534998132783453,1.0250805060299817
2017-03-21,1.0681071000812976,1.0225852019029373,1.025547050920691
2017-03-22,1.0875833130665364,1.0313692380132817,1.0260138081499766
2017-03-23,1.081515602706024,1.0315316046696652,1.0264807778144798
2017-03-24,1.093223735585722,1.0367760476708505,1.0269479600108864
2017-03-27,1.0770357497730567,1.044147493870659,1.0274153548359262
2017-03-28,1.0691643016417869,1.0495380668625893,1.0278829623863726
2017-03-29,1.1072539444778975,1.0639562259494393,1.0283507827590435
2017-03-30,1.0984642379231844,1.059702219552193,1.0288188160508005
2017-03-31,1.0889078311336537,1.0551234798421798,1.0292870623585497
2017-04-03,1.0921954592620946,1.058809202942084,1.029755521779241
2017-04-04,1.0979425332934418,1.0678692623682802,1.0302241944098682
2017-04-05,1.105815048602402,1.0517300167237658,1.0306930803474699
2017-04-06,1.1076448809374397,1.0427673772913997,1.0311621796891284
2017-04-07,1.1046160333755772,1.0487749435775873,1.0316314925319703
2017-04-10,1.11984211385726,1.049700433518973,1.0321010189731663
2017-04-11,1.108832981508237,1.0449918004838532,1.0325707591099316
2017-04-12,1.0956883706320815,1.037393040965108,1.0330407130395252
2017-04-13,1.039097366730435,1.0200847553946326,1.0334741459314951
2017-04-17,1.04746020050218,1.0445858838428943,1.0339077606789036
2017-04-18,1.0576009169633525,1.0417282306905458,1.0343415573580517
2017-04-19,1.0576008022189398,1.0295182581305107,1.0347755360452724
2017-04-20,1.0461393148609743,1.0352660377664846,1.0352096968169309
2017-04-24,1.0351102606858238,1.045462663787365,1.0356440397494244
2017-04-25,1.059196128053152,1.0577862930068684,1.0360785649191822
2017-04-26,1.06172319721239,1.053142606634302,1.0365132724026653
2017-04-27,1.0743133583518216,1.0501388234912081,1.0369481622763674
2017-04-28,1.0880831423817774,1.0619266427446463,1.0373832346168137
2017-05-02,1.1172795539292268,1.0833428047216227,1.037818489500562
2017-05-03,1.079231624574229,1.0731461787007424,1.0382539270042017
